10:28:02(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:30:58(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:34:02(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:36:46(0); S Type=1 Data=WebChangeStationStatus,5,H01,WEBProg,H01,,XX01202505210003,3,,,0,true,0,0,0,0
10:39:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:46:42(0); S Type=1 Data=WebChangeStationStatus,4,D01,WEBProg,D01,00003,XX01202504250003,9,,,0,true,0,0,0,0
11:20:46(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:26:43(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:30:05(0); S Type=1 Data=WebChangeStationStatus,5,E01,WEBProg,E01,,XX01202502030005,5,,,0,true,0,0,0,0
11:30:05(0); S Type=1 Data=WebChangeStationStatus,5,E01,WEBProg,E01,,XX01202504280007,4,,,0,true,0,0,0,0
11:31:50(0); S Type=1 Data=WebChangeStationStatus,5,E01,WEBProg,E01,,XX01202502030005,5,,,0,true,0,0,0,0
11:34:25(0); S Type=1 Data=WebChangeStationStatus,5,A03,WEBProg,A03,1080301,XX01202410070002,7,,,0,true,0,0,0,0
11:35:44(0); S Type=1 Data=WebChangeStationStatus,5,A03,WEBProg,A03,1080301,XX01202410070002,7,,,0,true,0,0,0,0
11:43:38(0); S Type=1 Data=WebChangeStationStatus,5,A03,WEBProg,A03,1080301,XX01202410070002,7,,,0,true,0,0,0,0
13:30:31(0); S Type=1 Data=WebChangeStationStatus,5,A03,WEBProg,A03,1080301,XX01202410070002,7,,,0,true,0,0,0,0
13:37:40(0); S Type=1 Data=IIS_Login,SoftNet_I,
13:51:13(0); S Type=1 Data=WebChangeStationStatus,5,E01,WEBProg,E01,,XX01202409110018,5,,,0,true,0,0,0,0
13:57:25(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:04:49(0); S Type=1 Data=IIS_Login,SoftNet_I,
