11:03:50(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:26:12(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202509090006,2,,,0,true,0,0,0,0
11:26:42(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202509090006,2,,,0,true,0,0,0,0
11:26:57(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202509090006,1,,,0,true,0,0,0,0
16:25:57(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202509090006,1,,,0,true,0,0,0,0
16:31:23(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202509090001,1,,,0,true,0,0,0,0
16:47:22(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:49:56(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202509090002,1,,,0,true,0,0,0,0
16:53:27(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:54:24(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202509090009,1,,,0,true,0,0,0,0
16:58:08(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:01:14(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202509090010,1,,,0,true,0,0,0,0
17:01:58(0); S Type=1 Data=WebChangeStationStatus,1,G01,WEBProg,G01,Alex Li,XX01202509090002,2,,,0,true,0,0,0,0
17:01:58(0); S Type=1 Data=WebChangeStationStatus,1,G01,WEBProg,G01,Alex Li,XX01202509090001,2,,,0,true,0,0,0,0
17:01:58(0); S Type=1 Data=WebChangeStationStatus,1,G01,WEBProg,G01,Alex Li,XX01202509090010,2,,,0,true,0,0,0,0
17:01:58(0); S Type=1 Data=WebChangeStationStatus,1,G01,WEBProg,G01,Alex Li,XX01202509090009,2,,,0,true,0,0,0,0
17:03:37(0); S Type=1 Data=WebChangeStationStatus,1,H01,WEBProg,H01,Alex Li,XX01202509090002,3,,,0,true,0,0,0,0
17:03:37(0); S Type=1 Data=WebChangeStationStatus,1,H01,WEBProg,H01,Alex Li,XX01202509090001,3,,,0,true,0,0,0,0
17:03:37(0); S Type=1 Data=WebChangeStationStatus,1,H01,WEBProg,H01,Alex Li,XX01202509090010,3,,,0,true,0,0,0,0
17:03:37(0); S Type=1 Data=WebChangeStationStatus,1,H01,WEBProg,H01,Alex Li,XX01202509090009,3,,,0,true,0,0,0,0
17:28:49(0); S Type=1 Data=WebChangeStationStatus,1,A02,WEBProg,A02,00003,XX01202509090006,2,,,0,true,0,0,0,0
17:29:04(0); S Type=1 Data=WebChangeStationStatus,2,A02,WEBProg,A02,00003,XX01202509090006,2,,,0,true,0,0,0,0
21:45:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:45:43(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202507300001,1,,,0,true,0,0,0,0
21:45:47(0); S Type=1 Data=WebChangeStationStatus,2,F01,WEBProg,F01,Alex Li,XX01202507300001,1,,,0,true,0,0,0,0
21:45:53(0); S Type=1 Data=WebChangeStationStatus,1,F01,WEBProg,F01,Alex Li,XX01202507300001,1,,,0,true,0,0,0,0
21:53:00(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:54:41(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:59:41(0); S Type=1 Data=IIS_Login,SoftNet_I,
