10:47:54(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:49:14(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:50:49(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:19:31(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:22:56(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:27:24(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:32:56(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:43:02(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:53:08(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:11:40(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:21:46(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:25:43(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:26:40(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:32:50(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:36:39(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:41:25(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:51:31(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:56:10(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:06:16(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:21:10(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:25:26(0); 電子標籤主機網路中斷. IP=192.168.66.5
