10:03:01(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:14:02(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:17:16(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:21:43(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:31:49(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:41:54(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:49:49(0); 電子標籤主機網路中斷. IP=192.168.66.5
10:59:54(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:09:59(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:20:05(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:30:11(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:36:47(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:46:53(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:56:58(0); 電子標籤主機網路中斷. IP=192.168.66.5
