16:25:30(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:34:26(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:36:16(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:36:56(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:37:02(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:37:34(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:37:44(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:37:48(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:49:06(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:54:01(0); S Type=1 Data=IIS_Login,SoftNet_I,
