19:55:31(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:05:37(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:31:39(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:34:28(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:44:34(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:54:40(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:04:45(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:14:51(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:24:57(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:35:03(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:45:10(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:55:16(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:28:42(0); 電子標籤主機網路中斷. IP=192.168.66.5
