10:47:48(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:49:10(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:50:44(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:19:26(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:22:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:27:19(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:32:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:11:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:25:38(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:26:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:32:45(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:36:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:41:21(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:56:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:21:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:25:21(0); S Type=1 Data=IIS_Login,SoftNet_I,
