16:00:54(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:11:01(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:13:21(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:20:35(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:30:41(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:40:52(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:01:23(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:02:49(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:13:12(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:24:04(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:07:14(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:11:18(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:13:32(0); 電子標籤主機網路中斷. IP=192.168.66.5
18:16:57(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:18:41(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:32:47(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:41:16(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:11:04(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:23:32(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:33:38(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:45:22(0); 電子標籤主機網路中斷. IP=192.168.66.5
22:55:32(0); 電子標籤主機網路中斷. IP=192.168.66.5
23:05:49(0); 電子標籤主機網路中斷. IP=192.168.66.5
