11:36:44(0); S Type=1 Data=IIS_Login,SoftNet_I,
13:57:27(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:45:37(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:11:00(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:22:56(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:38:13(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:33:28(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:38:45(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:44:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:06:02(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
17:22:39(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:36:58(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:41:21(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:47:17(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:58:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:02:55(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:39:08(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:44:12(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:49:09(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
20:50:22(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
20:51:48(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
20:53:12(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
21:04:45(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:12:45(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
21:13:28(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505280001,2,,,0,true,0,0,0,0
21:13:42(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505280001,9,,,0,true,0,0,0,0
21:18:05(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505280001,9,,,0,true,0,0,0,0
21:22:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
