09:33:56(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:36:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:53:37(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:02:42(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:47:25(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:05:32(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:14:43(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:16:25(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:36:28(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:44:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:43:04(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:58:47(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:00:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:06:31(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:07:22(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:09:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:10:42(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:16:38(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:18:31(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:21:28(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:24:44(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:28:50(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:36:58(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:43:18(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:51:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:56:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:12:35(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:28:09(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:30:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
