11:18:18(0); S Type=1 Data=IIS_Login,SoftNet_I,
13:54:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
13:57:20(0); S Type=1 Data=IIS_Login,SoftNet_I,
13:59:11(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:00:30(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:21:40(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:27:23(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:38:27(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:17:11(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:22:06(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:29:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:34:26(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:35:30(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:36:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:38:33(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:40:48(0); S Type=1 Data=IIS_Login,SoftNet_I,
