14:33:02(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:11:19(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:15:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:20:17(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:24:20(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:30:13(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:45:47(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:51:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
15:52:41(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:00:14(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:02:12(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:05:34(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:05:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:17:59(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:19:23(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505040001,2,,,0,true,0,0,0,0
16:38:03(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:52:14(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:11:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:09:24(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:37:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:53:00(0); S Type=1 Data=IIS_Login,SoftNet_I,
23:00:40(0); S Type=1 Data=IIS_Login,SoftNet_I,
23:03:40(0); S Type=1 Data=IIS_Login,SoftNet_I,
