09:16:37(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:17:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:37:16(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:42:09(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:46:25(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:03:48(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:34:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:42:57(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:06:23(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:42:17(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:12:14(0); S Type=1 Data=IIS_Login,SoftNet_I,
