11:11:59(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:36:20(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:38:11(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:38:50(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505040001,2,,,0,true,0,0,0,0
12:00:22(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:30:40(0); S Type=1 Data=IIS_Login,SoftNet_I,
14:33:34(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:09:52(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:13:23(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:14:22(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:30:42(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:16:32(0); S Type=1 Data=WebChangeStationStatus,5,H01,WEBProg,H01,,XX01202505210003,3,,,0,true,0,0,0,0
20:47:32(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:57:16(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:58:37(0); S Type=1 Data=WebChangeStationStatus,5,H01,WEBProg,H01,,XX01202505200005,3,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,A02,WEBProg,A02,1080301,XX01202505070009,3,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,A03,WEBProg,A03,1080301,XX01202503250003,4,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,A04,WEBProg,A04,1011001,XX01202505080001,3,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,A05,WEBProg,A05,1080301,XX01202504230001,1,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,C03,WEBProg,C03,0940601,XX01202505080011,5,,,0,true,0,0,0,0
20:58:37(0); S Type=1 Data=WebChangeStationStatus,2,C04,WEBProg,C04,0940601,XX01202502050011,3,,,0,true,0,0,0,0
21:23:29(0); S Type=1 Data=IIS_Login,SoftNet_I,
21:25:53(0); S Type=1 Data=IIS_Login,SoftNet_I,
