16:00:49(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:05:43(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:06:00(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:06:33(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:06:50(0); S Type=1 Data=WebChangeStationStatus,2,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:07:53(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505290001,9,,,0,true,0,0,0,0
16:13:16(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:16:04(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:16:18(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:16:25(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:16:52(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:17:42(0); S Type=1 Data=WebChangeStationStatus,2,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:17:50(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505290001,9,,,0,true,0,0,0,0
16:20:31(0); S Type=1 Data=IIS_Login,SoftNet_I,
16:22:39(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
16:24:06(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:24:17(0); S Type=1 Data=WebChangeStationStatus,2,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
16:25:16(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505290001,9,,,0,true,0,0,0,0
17:01:19(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:02:44(0); S Type=1 Data=IIS_Login,SoftNet_I,
17:03:54(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
17:04:28(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
17:04:41(0); S Type=1 Data=WebChangeStationStatus,2,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
17:05:36(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505290001,9,,,0,true,0,0,0,0
18:07:10(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:11:13(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:13:27(0); S Type=1 Data=IIS_Login,SoftNet_I,
18:16:52(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:18:36(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:32:43(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:41:11(0); S Type=1 Data=IIS_Login,SoftNet_I,
20:43:22(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
22:10:59(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:14:32(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
22:23:28(0); S Type=1 Data=IIS_Login,SoftNet_I,
22:25:13(0); S Type=1 Data=WebChangeStationStatus,1,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
22:27:05(0); S Type=1 Data=WebChangeStationStatus,2,A01,WEBProg,A01,00003,XX01202505290001,2,,,0,true,0,0,0,0
22:35:11(0); S Type=1 Data=WebChangeStationStatus,1,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
22:35:28(0); S Type=1 Data=WebChangeStationStatus,2,D01,WEBProg,D01,Alex Li,XX01202505290001,9,,,0,true,0,0,0,0
22:36:50(0); S Type=1 Data=WebChangeStationStatus,5,D01,WEBProg,D01,00003,XX01202505290001,9,,,0,true,0,0,0,0
